complaint,category,priority
Power outage in entire floor since morning,Electrical,Critical
Main breaker keeps tripping with burning smell,Electrical,Critical
Exposed wire sparking near reception desk,Electrical,Critical
Server room AC lost power and alarms beeping,Electrical,High
Lights flickering constantly in conference room,Electrical,Medium
One wall socket not working in cabin,Electrical,Medium
Emergency exit lights not turning on,Electrical,High
UPS showing fault and systems shutting down,Electrical,Critical
Electric shock felt when touching metal door,Electrical,Critical
Generator not starting during power cut,Electrical,High
Ceiling fan making loud noise and slowing,Electrical,Medium
Office lights too dim after recent repair,Electrical,Medium
Electrical panel door broken and open,Electrical,High
Short circuit smell coming from pantry switchboard,Electrical,Critical
Parking area lights not working at night,Electrical,High
One phase down causing half equipment off,Electrical,Critical
Switch sparks when turned on in meeting room,Electrical,Critical
Desk lamp outlet loose and unstable,Electrical,Medium
Fire alarm panel lost power suddenly,Electrical,Critical
Power backup draining very fast,Electrical,High
Multiple plugs overheating near printers,Electrical,High
Corridor lights stay on all day,Electrical,Medium
Voltage fluctuation affecting computers,Electrical,High
Electric meter display blank,Electrical,High
Light switch cracked but still works,Electrical,Medium
Extension cord damaged and taped,Electrical,High
Motion sensor lights not detecting movement,Electrical,Medium
Control room power went down unexpectedly,Electrical,Critical
Outdoor lights flicker during rain,Electrical,High
Some bulbs fused in common area,Electrical,Medium
Water leaking heavily from ceiling,Plumbing,Critical
Main water supply burst near entrance,Plumbing,Critical
Toilet overflowing and water spreading,Plumbing,Critical
No water supply on entire floor,Plumbing,High
Washbasin tap dripping continuously,Plumbing,Medium
Blocked toilet causing bad smell,Plumbing,High
Hot water not available in washroom,Plumbing,Medium
Pipe making loud banging noise,Plumbing,High
Water pressure extremely low in building,Plumbing,High
Sewage backing up in basement drain,Plumbing,Critical
Small leak under sink in pantry,Plumbing,Medium
Urinal flush not working properly,Plumbing,Medium
Water tank overflow alarm triggered,Plumbing,High
Bathroom floor flooded after flush,Plumbing,High
Broken pipe spraying water outside,Plumbing,Critical
Tap handle loose and hard to close,Plumbing,Medium
Drain cover missing in restroom,Plumbing,High
No hot water in entire block,Plumbing,High
Pipe corrosion visible with slow leak,Plumbing,High
Hand wash sink clogged but usable,Plumbing,Medium
Water dripping near electrical outlet,Plumbing,Critical
Flush button stuck in pressed position,Plumbing,Medium
Water heater making hissing sound,Plumbing,High
Toilet seat broken needs replacement,Plumbing,Medium
Overflowing water tank on terrace,Plumbing,Critical
Pantry sink draining very slowly,Plumbing,Medium
Valve not closing completely,Plumbing,High
Restroom faucet missing aerator,Plumbing,Medium
Continuous water flow in urinal,Plumbing,High
Pipe insulation damaged in corridor,Plumbing,Medium
Entire network down no internet access,IT,Critical
Main server not responding since reboot,IT,Critical
Email system completely inaccessible,IT,Critical
Office WiFi very slow for everyone,IT,High
Single PC not turning on,IT,High
Printer not connecting to network,IT,Medium
Database application crashing repeatedly,IT,High
Firewall showing error and blocking traffic,IT,Critical
UPS monitoring software offline,IT,Medium
User cannot login to workstation,IT,Medium
Multiple systems showing blue screen,IT,Critical
Projector not detected by laptop,IT,Medium
Shared drive inaccessible to team,IT,High
Antivirus alerts popping constantly,IT,Medium
Backup job failed last night,IT,High
CCTV system feed down,IT,Critical
Keyboard keys not responding,IT,Medium
Application license expired warning,IT,Medium
VoIP phones not working,IT,High
Router overheating and rebooting,IT,Critical
Software update stuck at 90 percent,IT,Medium
Password reset emails delayed,IT,Medium
Cloud dashboard not loading,IT,High
Mouse cursor lagging badly,IT,Medium
Access control system offline,IT,Critical
Video conference audio not clear,IT,Medium
Critical patch failed on server,IT,High
Time server sync error across systems,IT,High
Laptop battery not charging,IT,Medium
Internal portal unreachable,IT,Critical
Fire exit door jammed and wont open,General,Critical
Strong gas smell in pantry area,General,Critical
Elevator stuck between floors,General,Critical
Main entrance shutter not opening,General,High
Broken glass on staircase,General,High
AC not cooling in one room,General,Medium
Ceiling tile fell in hallway,General,High
